,城市,编号
1017,城子河,101051109
1018,宽城,101060109
1019,乾安,101060802
1020,扶余,101060805
1021,白山,101060901
1022,东岗,101060904
1023,江源,101060907
1024,浑南,101070102
1025,法库,101070105
1026,沈河,101070108
1027,铁西,101070111
1028,于洪,101070114
1029,大连,101070201
1030,普兰店,101070204
1031,庄河,101070207
1032,沙河口,101070210
1033,岫岩,101070303
1034,铁西,101070306
1035,葫芦岛,101071401
1036,兴城,101071404
1037,南票,101071407
1038,集宁,101080401
1039,商都,101080404
1040,凉城,101080407
1041,察右后旗,101080410
1042,科左中旗,101080503
1043,开鲁,101080506
1044,扎鲁特,101080509
1045,霍林郭勒,101080512
1046,海拉尔,101081001
1047,莫力达瓦,101081004
1048,陈旗,101081007
1049,满洲里,101081010
1050,呼伦贝尔,101081013
1051,图里河,101081016
1052,廊坊,101090601
1053,香河,101090604
1054,大厂,101090607
1055,安次,101090610
1056,东光,101090703
1057,肃宁,101090706
1058,献县,101090709
1059,任丘,101090712
1060,新华,101090715
1061,临漳,101091003
1062,涉县,101091006
1063,永年,101091009
1064,广平,101091012
1065,曲周,101091015
1066,丛台,101091018
1067,青龙,101091102
1068,卢龙,101091105
1069,山海关,101091108
1070,雄安新区,101091201
1071,雄县,101091204
1072,榆次,101100402
1073,和顺,101100405
1074,太谷,101100408
1075,灵石,101100411
1076,长治,101100501
1077,潞城,101100504
1078,武乡,101100507
1079,沁源,101100510
1080,阳城,101100603
1081,泽州,101100606
1082,定襄,101101002
1083,偏关,101101005
1084,代县,101101008
1085,保德,101101011
1086,五寨,101101014
1087,离石,101101101
1088,岚县,101101104
1089,方山,101101107
1090,孝义,101101110
1091,交城,101101113
1092,安康,101110701
1093,汉阴,101110704
1094,平利,101110707
1095,宁陕,101110710
1096,勉县,101110803
1097,城固,101110806
1098,宁强,101110809
1099,汉台,101110812
1100,商河,101120103
1101,济阳,101120106
1102,槐荫,101120109
1103,崂山,101120202
1104,胶州,101120205
1105,平度,101120208
1106,城阳,101120211
1107,东平,101120805
1108,临沂,101120901
1109,兰陵,101120904
1110,蒙阴,101120907
1111,沂水,101120910
1112,河东,101120913
1113,薛城,101121402
1114,滕州,101121405
1115,日照,101121501
1116,东港,101121504
1117,莫索湾,101130303
1118,呼图壁,101130402
1119,吉木萨尔,101130405
1120,木垒,101130408
1121,温泉,101131602
1122,图木舒克,101131701
1123,林芝,101140401
1124,察隅,101140404
1125,边坝,101140503
1126,芒康,101140506
1127,江达,101140509
1128,卡若,101140512
1129,尼玛,101140602
1130,安多,101140605
1131,巴青,101140608
1132,申扎,101140611
1133,阿里,101140701
1134,狮泉河,101140704
1135,噶尔,101140707
1136,措勤,101140710
1137,门源,101150802
1138,安宁,101160108
1139,定西,101160201
1140,渭源,101160204
1141,岷县,101160207
1142,灵台,101160303
1143,庄浪,101160306
1144,清水,101160903
1145,武山,101160906
1146,固原,101170401
1147,泾源,101170404
